Waktu;Hari;Kelompok_Umur_Pengemudi;Jenis_Kelamin_Pengemudi;Pendidikan;Hubungan_Pengemudi_Kendaraan;Pengalaman_Mengemudi;Jenis_Kendaraan;Pemilik_Kendaraan;Usia_Kendaraan;Kerusakan_Kendaraan;Lokasi_Kecelakaan;Jalur_atau_Median;Kondisi_Jalan;Jenis_Persimpangan;Jenis_Permukaan_Jalan;Kondisi_Permukaan_Jalan;Kondisi_Pencahayaan;Kondisi_Cuaca;Jenis_Tabrakan;Jumlah_Kendaraan_Terlibat;Jumlah_Korban;Pergerakan_Kendaraan;Kelas_Korban;Jenis_Kelamin_Korban;Kelompok_Umur_Korban;Keparahan_Korban;Pekerjaan_Korban;Kondisi_Korban;Pergerakan_Pejalan_Kaki;Penyebab_Kecelakaan;Tingkat_Keparahan_Kecelakaan
418;6;0;0;0;0;0;3;1;4;2;9;2;2;6;0;3;3;6;4;2.0;2.0;1;3;2;3;3;3;3;4;13;1
418;6;1;0;2;0;4;0;1;2;2;8;0;2;6;0;3;3;6;2;2.0;2.0;1;3;2;3;3;3;3;4;11;1
418;6;0;0;2;0;0;13;1;5;2;1;5;2;6;0;3;3;6;6;2.0;2.0;1;1;0;1;2;3;3;4;1;0
592;2;0;0;2;0;2;0;3;5;2;8;5;0;4;3;3;2;6;2;2.0;2.0;1;0;1;0;2;3;3;4;0;1
592;2;0;0;2;0;1;3;1;2;2;4;5;2;4;0;3;2;6;2;2.0;2.0;1;3;2;3;3;3;3;4;11;1
264;0;1;0;2;3;2;3;1;5;2;12;2;2;4;0;3;3;6;2;1.0;1.0;11;1;0;1;2;3;3;4;12;1
446;3;0;0;2;0;1;3;1;5;2;9;0;2;5;0;3;3;6;2;1.0;1.0;9;1;1;0;2;3;3;4;4;1
436;0;0;0;2;0;1;3;3;4;2;9;5;2;4;0;3;3;6;2;2.0;1.0;11;3;2;3;3;3;3;4;16;1
436;0;0;0;2;0;4;13;1;0;2;4;5;2;4;3;3;3;6;4;2.0;1.0;1;0;0;5;2;3;3;5;0;1
436;0;0;0;2;0;0;3;1;1;2;9;0;2;4;0;3;3;6;4;2.0;1.0;11;2;0;0;2;3;3;4;13;0
288;4;0;0;0;2;0;6;1;5;2;9;5;2;6;0;3;3;6;3;2.0;1.0;4;3;2;3;3;3;3;4;1;0
288;4;1;0;0;0;5;3;1;5;2;8;0;2;6;3;3;3;6;3;2.0;1.0;1;1;0;0;2;3;3;4;17;0
461;1;0;0;2;0;0;0;1;1;2;8;3;4;6;0;3;3;6;3;2.0;2.0;1;3;2;3;3;3;3;4;18;1
461;1;1;0;2;0;2;13;1;4;2;8;5;2;6;0;3;3;6;3;2.0;2.0;7;3;2;3;3;1;3;4;16;1
461;1;1;0;2;0;4;3;1;0;2;8;0;4;6;0;3;3;6;3;2.0;2.0;1;1;1;0;2;3;3;4;18;0
741;6;0;1;2;0;4;15;1;5;2;8;4;2;4;0;0;2;3;3;2.0;3.0;1;3;2;3;3;3;3;4;18;0
741;6;0;0;2;2;2;6;1;5;2;8;0;2;4;0;0;2;3;3;2.0;3.0;1;3;2;3;3;3;3;4;13;1
741;6;0;0;3;0;1;6;1;5;2;8;5;2;4;0;0;2;3;3;2.0;3.0;1;3;2;3;3;3;3;4;0;0
741;6;0;0;2;0;1;3;1;4;2;9;5;2;4;0;0;2;3;3;2.0;3.0;9;3;2;3;3;4;3;4;17;1
983;5;0;0;2;0;3;14;1;2;2;9;4;2;4;0;3;3;6;3;2.0;1.0;1;1;0;5;2;3;3;4;13;0
983;5;4;0;2;0;1;13;1;5;2;12;4;2;4;0;3;3;6;3;2.0;1.0;1;3;2;3;3;3;3;4;19;1
315;1;0;0;2;0;1;15;1;2;2;2;0;2;5;0;3;3;6;3;1.0;1.0;9;1;0;0;2;3;3;4;11;0
149;1;0;0;3;0;2;13;1;5;2;1;5;2;4;0;3;3;6;1;2.0;1.0;3;2;1;1;2;3;3;4;12;0
149;1;1;0;2;0;4;5;1;5;2;4;0;2;4;0;3;3;6;0;2.0;1.0;2;2;0;0;2;0;3;4;0;0
510;3;0;0;2;3;2;3;1;5;2;9;5;2;5;1;3;3;6;3;2.0;3.0;4;3;2;3;3;3;3;4;14;1
