Waktu;Hari;Kelompok_Umur_Pengemudi;Jenis_Kelamin_Pengemudi;Pendidikan;Hubungan_Pengemudi_Kendaraan;Pengalaman_Mengemudi;Jenis_Kendaraan;Pemilik_Kendaraan;Usia_Kendaraan;Kerusakan_Kendaraan;Lokasi_Kecelakaan;Jalur_atau_Median;Kondisi_Jalan;Jenis_Persimpangan;Jenis_Permukaan_Jalan;Kondisi_Permukaan_Jalan;Kondisi_Pencahayaan;Kondisi_Cuaca;Jenis_Tabrakan;Jumlah_Kendaraan_Terlibat;Jumlah_Korban;Pergerakan_Kendaraan;Kelas_Korban;Jenis_Kelamin_Korban;Kelompok_Umur_Korban;Keparahan_Korban;Pekerjaan_Korban;Kondisi_Korban;Pergerakan_Pejalan_Kaki;Penyebab_Kecelakaan;Tingkat_Keparahan_Kecelakaan
17:02:00;Senin;18-30;Laki-laki;Perguruan Tinggi;Karyawan;1-2 Tahun;Mobil;Milik Pribadi;Lebih dari 10 Tahun;Tidak Ada Kerusakan;Area Permukiman;;Jalan Lurus di Daerah Datar;Tidak Ada Persimpangan;Jalan Aspal;Kering;Siang;Normal;Tabrakan dengan Kendaraan yang Parkir di Pinggir Jalan;2;2;Berjalan Lurus;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;;;Bukan Pejalan Kaki;Mundur;Cedera Ringan
17:02:00;Senin;31-50;Laki-laki;SMP;Karyawan;Lebih dari 10 Tahun;Angkutan Umum (>45 Kursi);Milik Pribadi;5-10 Tahun;Tidak Ada Kerusakan;Area Perkantoran;Jalan Dua Arah Tanpa Median;Jalan Lurus di Daerah Datar;Tidak Ada Persimpangan;Jalan Aspal;Kering;Siang;Normal;Tabrakan Antar Kendaraan;2;2;Berjalan Lurus;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;;;Bukan Pejalan Kaki;Menyalip;Cedera Ringan
17:02:00;Senin;18-30;Laki-laki;SMP;Karyawan;1-2 Tahun;Truk Besar;Milik Pribadi;;Tidak Ada Kerusakan;  Recreational areas;Lainnya;;Tidak Ada Persimpangan;Jalan Aspal;Kering;Siang;Normal;Tabrakan dengan Objek di Pinggir Jalan;2;2;Berjalan Lurus;Pengemudi atau Pengendara;Laki-laki;31-50;3;Pengemudi;;Bukan Pejalan Kaki;Berpindah Jalur ke Kiri;Cedera Berat
01:06:00;Minggu;18-30;Laki-laki;SMP;Karyawan;5-10 Tahun;Angkutan Umum (>45 Kursi);Pemerintah;;Tidak Ada Kerusakan;Area Perkantoran;Lainnya;Jalan Lurus dengan Kemiringan Landai di Daerah Datar;Persimpangan Bentuk Y;Jalan Tanah;Kering;Malam (Lampu Menyala);Normal;Tabrakan Antar Kendaraan;2;2;Berjalan Lurus;Pejalan Kaki;Perempuan;18-30;3;Pengemudi;Normal;Bukan Pejalan Kaki;Berpindah Jalur ke Kanan;Cedera Ringan
01:06:00;Minggu;18-30;Laki-laki;SMP;Karyawan;2-5 Tahun;;Milik Pribadi;5-10 Tahun;Tidak Ada Kerusakan; Industrial areas;Lainnya;Jalan Lurus di Daerah Datar;Persimpangan Bentuk Y;Jalan Aspal;Kering;Malam (Lampu Menyala);Normal;Tabrakan Antar Kendaraan;2;2;Berjalan Lurus;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;;;Bukan Pejalan Kaki;Menyalip;Cedera Ringan
14:15:00;Jumat;31-50;Laki-laki;;Tidak Diketahui;;;;;;;;;Persimpangan Bentuk Y;;Kering;Siang;Normal;Tabrakan Antar Kendaraan;1;1;Putar Balik;Pengemudi atau Pengendara;Laki-laki;31-50;3;Pengemudi;Normal;Bukan Pejalan Kaki;Muatan Berlebih;Cedera Ringan
17:30:00;Rabu;18-30;Laki-laki;SMP;Karyawan;2-5 Tahun;Mobil;Milik Pribadi;;Tidak Ada Kerusakan;Area Permukiman;Jalan Dua Arah Tanpa Median;Jalan Lurus di Daerah Datar;Persimpangan Umum;;Kering;Siang;Normal;Tabrakan Antar Kendaraan;1;1;Mundur;Pengemudi atau Pengendara;Perempuan;18-30;3;Pengemudi;Normal;Bukan Pejalan Kaki;Lainnya;Cedera Ringan
17:20:00;Jumat;18-30;Laki-laki;SMP;Karyawan;2-5 Tahun;Mobil;Pemerintah;Lebih dari 10 Tahun;Tidak Ada Kerusakan;Area Permukiman;Lainnya;Jalan Lurus di Daerah Datar;Persimpangan Bentuk Y;Jalan Aspal;Kering;Siang;Normal;Tabrakan Antar Kendaraan;2;1;Putar Balik;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;;Normal;Bukan Pejalan Kaki;Tidak Memberikan Prioritas kepada Kendaraan;Cedera Ringan
17:20:00;Jumat;18-30;Laki-laki;SMP;Karyawan;Lebih dari 10 Tahun;Truk Besar;Milik Pribadi;1-2 Tahun;Tidak Ada Kerusakan; Industrial areas;Lainnya;Jalan Lurus di Daerah Datar;Persimpangan Bentuk Y;Jalan Tanah;Kering;Siang;Normal;Tabrakan dengan Kendaraan yang Parkir di Pinggir Jalan;2;1;Berjalan Lurus;Pejalan Kaki;Laki-laki;diBawah 51;3;Pengemudi;Normal;Menyeberang dari Sisi Dekat Pengemudi;Berpindah Jalur ke Kanan;Cedera Ringan
17:20:00;Jumat;18-30;Laki-laki;SMP;Karyawan;1-2 Tahun;Mobil;Milik Pribadi;2-5 Tahun;Tidak Ada Kerusakan;Area Permukiman;Jalan Dua Arah Tanpa Median;Jalan Lurus di Daerah Datar;Persimpangan Bentuk Y;Jalan Aspal;Kering;Siang;Normal;Tabrakan dengan Kendaraan yang Parkir di Pinggir Jalan;2;1;Putar Balik;Penumpang;Laki-laki;18-30;3;Pengemudi;Normal;Bukan Pejalan Kaki;Mundur;Cedera Berat
14:40:00;Sabtu;18-30;Laki-laki;Perguruan Tinggi;Milik Pribadi;1-2 Tahun;Public (13?45 seats);Milik Pribadi;Tidak Diketahui;Tidak Ada Kerusakan;Area Permukiman;Lainnya;Jalan Lurus di Daerah Datar;Tidak Ada Persimpangan;Jalan Aspal;Kering;Siang;Normal;Tabrakan dengan Hewan;2;1;Kendaraan Terbalik;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;;Normal;Bukan Pejalan Kaki;Berpindah Jalur ke Kiri;Cedera Berat
14:40:00;Sabtu;31-50;Laki-laki;Perguruan Tinggi;Karyawan;Tidak Memiliki SIM;Mobil;Milik Pribadi;;Tidak Ada Kerusakan;Area Perkantoran;Jalan Dua Arah Tanpa Median;Jalan Lurus di Daerah Datar;Tidak Ada Persimpangan;Jalan Tanah;Kering;Siang;Normal;Tabrakan dengan Hewan;2;1;Berjalan Lurus;Pengemudi atau Pengendara;Laki-laki;18-30;3;Pengemudi;Normal;Bukan Pejalan Kaki;Tidak Memberikan Prioritas kepada Pejalan Kaki;Cedera Berat
17:45:00;Kamis;18-30;Laki-laki;SMP;Karyawan;1-2 Tahun;Angkutan Umum (>45 Kursi);Milik Pribadi;2-5 Tahun;Tidak Ada Kerusakan;Area Perkantoran;Jalan Dua Arah dengan Median;Jalan di Lereng Curam;Tidak Ada Persimpangan;Jalan Aspal;Kering;Siang;Normal;Tabrakan dengan Hewan;2;2;Berjalan Lurus;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Pengemudi;Normal;Bukan Pejalan Kaki;Tidak Menjaga Jarak Aman;Cedera Ringan
17:45:00;Kamis;31-50;Laki-laki;SMP;Karyawan;5-10 Tahun;Truk Besar;Milik Pribadi;Lebih dari 10 Tahun;Tidak Ada Kerusakan;Area Perkantoran;Lainnya;Jalan Lurus di Daerah Datar;Tidak Ada Persimpangan;Jalan Aspal;Kering;Siang;Normal;Tabrakan dengan Hewan;2;2;Menunggu Berjalan;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Tidak Ada Data;Lainnya;Normal;Bukan Pejalan Kaki;Tidak Memberikan Prioritas kepada Kendaraan;Cedera Ringan
